那我去了解一下桑德拉布洛克	不认识桑德拉布洛克啊。被网友评论女神级人也是非常受关注女明星。那我去了解一下。
天若有情的故事我喜欢啊	推荐些别的看看吧最近剧荒了。那就看下天若有情吧老片子讲的是坏男人与乖乖女的故事。这种故事我喜欢啊。
是哪位明星啊名字叫什么我应该听说过庄文强的好搭档	我要再看一次。庄文强的一个好搭档还获得过第9届中国电影华表奖优秀男演员呢。是哪位明星啊名字叫什么我应该听说过他。
你说的你好菜鸟的主演是谁啊	好的我一定去看看你好菜鸟。这部电影里面有位主演我很喜欢跟你一样都是北京现代音乐学院毕业的。你说的是谁啊。
你能帮我把煤气罐搬上九楼吗	你是男的吗。请叫我女汉子谁需要换煤气罐啊callme。你能帮我搬上九楼吗。
小布可以称呼我小莉就行了	那你说我叫什么名字。小布可以称呼您吗这样我就可以把你放在心上啦。你可以称呼我小莉就行了。
徐子淇不仅人美徐子淇还有一部口碑不是很好的电影你看过吗	里面有中国香港明星徐子淇。好像听说过呢中国香港的吧。徐子淇不仅人美还有一部口碑不是很好的电影你看过吗。
从超市买了些食物准备吃饭了	刚从超市回来。今天一个人逛超市。买了些食物准备吃饭了。
我去看看2012应该不错啊	什么电影说给我听听。就是2012啊你去看看回忆一下吧。我去看看应该不错啊。
豆汁儿焦圈是什么味道的	北京有什么好吃的。吃过豆汁儿焦圈没有感觉是北京的一个特色。什么味道的。
没有 完美陌生人是讲什么的	看什么。诶你看完美陌生人了吗。没有 是讲什么的。
张芷溪最近演的戏	张芷溪的魅力是哪些。打印一张张芷溪的照片放在口袋，小布就是身藏巨款的人。张芷溪的魅力在颜值里，在性格里，也在《寂寞空庭春欲晚》里。。他最近演的戏。
于荣光演的大宅门第一部演技那是杠杠的	于荣光他会唱京剧也演过很多电影。嗯我也挺喜欢他的。他演的大宅门第一部演技那是杠杠的。
我感觉也是魔僧听起来像动作片呢2003年1月1日还上映了一部口碑不错的电影呢	叫做魔僧。听起来却不太像剧情片呢倒是有点像动作片。我感觉也是呢2003年1月1日还上映了一部口碑不错的电影呢。
我要嫁王凯	我要嫁人了。嫁谁了。王凯。
你给他打着你一直没上过学呢	你呢我哪时候去学校。我才两岁没上过学。你给他打着你一直没上过学呢。
我对许鞍华不感兴趣	对许鞍华不了解。网评都说他是反应真实人生的导演他的代表作是我要成名我很欣赏他的才华。我对他不感兴趣。
小可爱小布叫小布	小布是谁。小布就是本小可爱。小可爱她叫小布。
谢谢推荐海洋之歌	好的什么电影。海洋之歌很好看哦。谢谢推荐。
原来我的魔鬼是芬兰的啊我看过我的魔鬼	喜欢呀你可以推荐给我吗。我的魔鬼这部电影值得一看。原来这部电影是芬兰的啊我看过。
我的名字叫可汗的主演演技很好我的名字叫可汗的主演跟你一样都是印度的	有一部印度的电影叫做我的名字叫可汗你有没有看过。看了很好的电影。这部电影的主演演技很好跟你一样都是印度的。
问恶婆娘好久下班	给恶婆娘发个短信。你要发送什么内容。问他好久下班。
彼得斯特曼参演了作品冰血暴彼得斯特曼还在第6届mtv电影奖中提名最佳银幕搭档了呢	这部电影的主演是彼得斯特曼他可是一位国际巨星哦。很厉害的样子呢。他参演了作品冰血暴还在第6届mtv电影奖中提名最佳银幕搭档了呢。
月满轩尼诗男主角还演过什么电影	月满轩尼诗张学友演的是谁。张学友在剧中饰演阿来，剧本身已经足够好看，比剧情更好看的是张学友的演技。。男主角还演过什么电影。
还有部20年前上映的电影叫家庭作业很精彩呢	蓝海美人挺不错的一部电影推荐你去观看。好的谢谢推荐。还有部20年前上映的电影叫家庭作业很精彩呢。
是啊反贪风暴很好看	喜欢啊。那反贪风暴你一定也看过了。是啊很好看。
感觉弹珠怎么样	你玩过弹珠吗。玩过。感觉怎么样。
学你的啊你不是总是这样说嘛	那是越是年龄老的越是经典啊。你什么时候也学会说经典了啊。学你的啊你不是总是这样说嘛。
南京大学是好学校	我们学校挂黑的哀悼幅的好像是去年秋冬天过世了。南京大学怎么样。好学校。
怪医杜立德2的主演谁啊	没有看过怪医杜立德2外国的电影我看的还是比较少的。这是部家庭类电影这部电影的主演和你是老乡呢。谁啊。
夏洛特烦恼有听说过好像口碑还不错	真的啊那我更感兴趣了。再推荐一部喜剧电影叫夏洛特烦恼时光网短评说它是没有走寻常路套路包袱少。这个有听说过好像口碑还不错。
他和她知道吗	他知道吗。可能知道吧没说过。他和她知道吗。
那siri说siri最聪明了	你和Siri谁聪明。小布最聪明，从不窥探别人。那Siri说他最聪明了。
山寨老友记  爱情公寓很搞笑	爱情公寓这个标签就足够了太搞笑了。十个演员十年同学情。山寨老友记  搞笑。
兔侠之青黎传说简直就是骗钱的电影啊	对啊王劲松竟然主演兔侠之青黎传说。以后再也不喜欢他了。简直就是骗钱的电影啊。
可以的我喜欢帅哥姚橹有什么主演的作品吗	真的吗我需要关注下姚橹。他是汉族人不仅演技好而且越看越帅呢。可以的我喜欢帅哥他有什么主演的作品吗。
就是尊龙的那部魅影奇侠我就很喜欢魅影奇侠这种怀旧感的电影呢	尊龙还主演了一部电影在美国上映的你知道吗。不清楚。就是他的那部魅影奇侠我就很喜欢这种怀旧感的电影呢。
比较好的明星的名字叫尹航很优秀的	有位比较好的明星想推荐给你。好呀谁啊。名字叫尹航很优秀的。
什么口碑很差的电影	看过啦口碑很差。那另一部口碑很差的电影估计你不会看了。什么电影。
那我也要去看看肖申克的救赎	嗯说说看。肖申克的救赎是一部非常不错的影片看过以后真觉得人性之坚韧。那我也要去看看。
可一个人不喜欢我	我喜欢上一个人。喜欢就去追说不定对方眼瞎呢。可他不喜欢我。
嗯嗯好的我会关注石知田的	哦你说的是谁啊。石知田网评说他在我的少女时代里演的马思远是整部戏的颜值担当你可以关注一下。嗯嗯好的我会关注的。
你最喜欢工作细胞里哪个角色呢	你看过工作细胞么。书和电影都看过。你最喜欢哪个角色呢。
什么美国电影好看吗	美国片呀有的美国有点看不懂。这个你可以看得懂的讲诉的是一无所有年轻母亲复仇。什么电影好看吗。
是吗哪部也跟1945一样好看的电影呢	战争带来的伤害可真是不小啊。还有一部电影也跟1945一样好看。是吗哪部电影呢。
他要考研	在睡觉。除了睡觉还能干嘛呜呜。他要考研。
可是我喜欢我对象啊	我和我对象彻底分手了。多大点儿事儿旧的不去新的不来。可是我喜欢他啊。
嗯春季来的人是富司纯子和齐藤由贵合作拍摄的你知道齐藤由贵吗	春季来的人这部电影就是富司纯子主演的挺不错的。谢谢周末我会去看的。嗯这部电影是她和齐藤由贵合作拍摄的你知道她吗。
我去查一下张雪芹的资料	你还是直接说是谁吧因为她的代表作我没看过。她叫张雪芹祖籍是香港的。我去查一下她的资料。
和苗可秀一起合作出演过楚留香的凌云我也很喜欢的呢	苗可秀那是有好好保养的条件啊。也对啊哪像我们啊天天为了工作拼命啊。和她一起合作出演过楚留香的凌云我也很喜欢的呢。
他不爱我了	我有点难过他其实没有那么爱我。抱歉，我还是没听懂，可能需要你说慢一点。他不爱我了。
不给你看李仕伟是我男朋友	你认识李仕伟吗。不认识发现过来看看。不给你看他是我男朋友。
我婆婆其实很懒	我婆婆对我不好。为什么你吃现成呢作为儿媳为什么你不能做给婆婆吃还一口一个这老太太这老太婆的。她其实很懒。
他说他还有事吗	说你爸爸是谁。nothing没事了。他说他还有事吗。
成事在人确实好看成事在人里面的主演非常受关注有网友评价成事在人的主演举手投足都散发着迷人的魅力	听说那个成事在人还不错你看了吗。看得我心情很激动好看。确实好看里面的主演非常受关注有网友评价他举手投足都散发着迷人的魅力。
快邀我进城中小学群	我进哪啊。那个城中小学群啊。快邀我进去。
好无聊不想听高一玮了	高一玮出演的双旗镇刀客是什么时候。《双旗镇刀客》上映于1991年。好无聊不想听他了。
看样子丹尼尔戴刘易斯还挺厉害的	不太了解丹尼尔戴刘易斯。他祖籍是在英国伦敦网友评论说他在布拉格之恋中怎么能这么可恨这么美。看样子还挺厉害的。
哆啦a梦大雄与银河超特急	昨天给我儿子看了一个动画片他很喜欢哦。是什么。哆啦a梦大雄与银河超特急。
不认识kristinmichel不想看weatherman69	什么电影啊。叫weatherman69是kristinmichel主演的他的演技很棒。不认识不想看。
他爸爸是谁	小布小布。你的小宝贝正向你奔来。说吧什么事？。他爸爸是谁。
我早就看过影子爱人了	影子爱人得过奖吗。沧海遗珠，《影子爱人》并未获得任何奖项，但小布相信，金杯银杯不如观众的好口碑。。我早就看过了。
我就是想他	我想他。那你为什么想他呢？。我就是想他。
哦哦我知道呢不过忘了狂怒二战叫什么了	听名字狂怒二战很厉害的样子。那能不厉害吗这部片子可是和速度与激情1同一个导演呢。哦哦我知道呢不过忘了叫什么了。
广末凉子主演的电影你看过吗口碑不错哦	广末凉子你觉得怎么样。没听说过他应该是日本的吧。她主演的电影你看过吗口碑不错哦。
我闺蜜因为一个训练营很忙不理我了	我闺蜜不理我了。咋回事疑问。他因为一个训练营很忙不理我了。
泰坦尼克号没有第三部	看的泰坦尼克号。有第三部。没。
也想他们	挖苦啊。是谁嘲笑小布的小宝贝了。也想他们。
我的偶像是云翔你知道云翔吧	你在中国有明星偶像吗。有啊。我的偶像是云翔你知道他吧。
哪一部动作类型的电影给我说说	要得一会带着出发。好的我最近听说有部动作类型的电影也很好看呢要下个月就上映呢。哪一部给我说说。
电影叫功守道网友评论说马爸爸告诉你什么才是真正的有钱	他导演的一部电影非常有意思虽然口碑很差但剧情还不错。说的我都感兴趣了是啥啊。这部电影叫功守道网友评论说马爸爸告诉你什么才是真正的有钱。
你帮我看看车牌号	我今天选了车牌号哦。你还知道关心我啊。你帮我看看。
我要超越马云	我要超越马云。你清醒一点。。我要超越他。
他是个傻子	肯定噻。既然决定了就努力吧。他是个傻子。
我感觉喵星人不错名字挺好的去看看	喜欢你有什么推荐。我给你推荐一部电影吧这部电影的名字叫喵星人是去年上映的有时间的话去看一下吧。我感觉不错名字挺好的去看看。
你同意咱俩和好了	咱俩和好吧。和好。你同意了。
还没看过印度的电影呢片名叫什么	好啊什么样的电影啊。电影名很特别是印度的电影。还没看过印度的呢片名叫什么。
打给李博他对象	帮里给他对象打个电话他说正在执行中还能找到吗。选择一下你想要的联系人吧。打给李博他对象。
还真没有看过呢	太多了说不完呢。双宝斗恶魔之前的电影有没有看过呢。还真没有呢。
第一次听说赛德克巴莱	好吧有时间去认识一下。林庆台还主演了一部电影叫赛德克巴莱5年前就已经上映了哦。第一次听说这个名字。
贝拉塔尔获得过哪些比较厉害的奖项呢	不是喜剧我就不看了。那你可以去了解一下这部剧的导演是贝拉塔尔生于1955年7月21日是个很厉害的人哦。他获得过哪些比较厉害的奖项呢。
阳光橱窗是一部很温馨的国产电影相信你一定会喜欢的你知道主演是谁吗	阳光橱窗不错的电影去看看吧。好的我会去的谢谢你的推荐。这是一部很温馨的国产电影相信你一定会喜欢的你知道主演是谁吗。
可以啊只要电影是好看的哪个国家电影都行	尼斯疯狂的心没听过啊是哪个国家的呀。尼斯疯狂这部电影是巴西的你喜欢巴西的电影么。可以啊只要好看的哪个国家都行。
但一个女孩老公不同意	我喜欢上了一个女孩。那就好好学习，找个好工作，挣好多好多钱。等她结婚的时候就能多出点份子钱。。但她老公不同意。
张立演过一部电影跟方辉一起主演的你知道吗	张立的代表作。哦这可是大明星啊不过很少关注。他演过一部电影跟方辉一起主演的你知道吗。
我不认识里克奥巴瑞啊我都不知道自己有没有看过里克奥巴瑞主演的纪录片	所以不要经常下载一些冷门的软件。里克奥巴瑞主演的纪录片你有看过哪些。我不认识这个主演啊我都不知道自己有没有看过他主演的纪录片。
问我喜欢她什么我该怎么回答	小布小布。你的小宝贝正向你奔来。说吧什么事？。问我喜欢她什么我该怎么回答。
董永和七仙女你知道么	董永和七仙女的事知道么。董永和七仙女吧。你知道么。
你称呼我为王紫璇	王紫璇的老婆漂亮。看久了你会发现，不仅好看，还耐看。但与其关注恋情，不如来看看作品《致青春》？。你称呼我为他。
三船敏郎和蔡卓宜是什么关系	以后叫你三船敏郎行不行呀以后就叫你蔡卓宜了。离成为蔡卓宜，小布就差一张好看的脸和优秀作品《心肝宝贝》。。他和蔡卓宜是什么关系。
更好的世界听名字很好看的样子	我最喜欢看剧情类的电影了。是吗太好了给你推荐一部更好的世界相当不错的电影。听名字很好看的样子。
好像蝙蝠侠大战超人正义黎明票房还挺高的有几个亿吧	电影是什么。是蝙蝠侠大战超人正义黎明。好像票房还挺高的有几个亿吧。
要打电话给他们	打电话。你要打给谁呢？。要打电话给他们。
你他妈声音是女的	我说你是男的女的。男阿。你他妈声音是女的。
是啊我超喜欢克林特伊斯特伍德的作品	原来是这部啊。1995年上映的电影现在看起来依旧很好看导演克林特伊斯特伍德真是要给他竖个大拇指。是啊我超喜欢他的作品。
王朔啊是北京四十四中学毕业的王朔	但是里面那位主演真的是才华横溢。你说的是哪一位。王朔啊是北京四十四中学毕业的那位。
另外一位演员谁啊说说看	嗯就是想不起来他了。他和另外一位演员合作的铁马寻桥很好看的两人合作的很好。谁啊说说看。
赤壁下的主演叫张丰毅是湖南长沙人士张丰毅是一位大陆难得的好演员	那你知道赤壁下的主演是谁吗赤壁下的主演是ab型的血型。还真是没想起来呢你说说吧。他叫张丰毅是湖南长沙人士他是一位大陆难得的好演员。
无法证明无法证明不知道你有没有看过	推荐一部电影给你吧。可以特别想看电影。无法证明这部电影不知道你有没有看过。
行最近有时间我去看绽放	不知道我没看过她的电影是啥好看吗。绽放就是她主演的有空可以去看看哦。行最近有时间我去看。
我知道捉迷藏是一部惊悚片啊我就喜欢惊悚类型的电影	其实捉迷藏我很喜欢。这是一部惊悚啊。我知道啊我就喜欢惊悚类型的电影。
你也不是猫呀	我也喜欢猫。你又不是猫。你也不是呀。
知不知道王嘉尔是谁	你知道王嘉尔是谁吗。想起来了。知不知道。
有时间了我也搜搜精灵王座看	这么厉害叫什么名字啊。精灵王座2016年8月19日上映的还挺好看的。有时间了我也搜搜看。
可是他离开了呀	你会离开我吗。只要你不转身我绝不离开。可是他离开了呀。
不知道o型血的演员是谁对这方面了解的不多	哦是谁啊没看过。嗯他毕业于浙江传媒学院是一位o型血的演员哦知道是谁了吗。不知道对这方面了解的不多。
然后他们去了没有	不要浪费时间。那是因为小布想把时间浪费在你身上。然后他们去了没有。
他说我	被你气死了。那小布还是挺荣幸的。他说我。
刘静结婚了吗	你认识龙泉刘静不。嗯我初中同学。她结婚了吗。
小那个小爱同学他说的更多啊我操	动物园里有什么。有大西几小凶许小脑斧梅发怒。小那个小爱同学他说的更多啊我操。
对她叫苏玉华看来你非常了解苏玉华啊	有位女明星是完美的女演员完美的美女厨神完美的知性女人。你说的是不是那位姓苏的。对她叫苏玉华看来你非常了解她啊。
余铭轩呀和你一样都是大学本科呢	还有一位也是郑州轻工业学院毕业的明星你知道吗。不知道是谁呀。余铭轩呀和你一样都是大学本科呢。
我马上去欣赏一下十月围城	我听说过十月围城但一直没去看。李宇春还凭借这部作品被2010第29届香港电影金像奖中提名了最佳女配角了。我马上去欣赏一下。
他说傻人有傻福他说他傻	没有呀你。那就没有吧。他说傻人有傻福他说他傻。
有时间去看下谍影重重里面的男主年纪轻轻已经拿了不少奖项了好莱坞明星	谍影重重看过吗。不太记得了。有时间去看下里面的男主年纪轻轻已经拿了不少奖项了好莱坞明星。
他喵的	不要你啦。喵的敢不要。他喵的。
听说过威廉莫纳汉	不知道。威廉莫纳汉身高182cm。听说过。
看老电影啊一边吃宵夜一边看电影	周末要去我家看电影吗。看什么。看老电影啊一边吃宵夜一边看。
大哥你他妈逗逼吧	那吃什么。火锅烧烤啤酒不是很贵但很对胃。大哥你他妈逗逼吧。
密阳我才不想看	宋康昊是不是有演过密阳。宋康昊在《密阳》里饰演宗灿。我才不想看。
是啊游戏规则是部烂片高希希长得就是头猪拍出来的东西能不2吗	去看看游戏规则吧不过游戏规则的评分比较低只有54分。这么少吗好像是部烂片哦。是啊是部烂片高希希长得就是头猪拍出来的东西能不2吗。
陈松伶只有蜀山奇侠之仙侣奇缘这一部代表作吗	嗯嗯听说过蜀山奇侠之仙侣奇缘陈松伶演的还不错的呢。她毕业于香港中文大学主修宗教哲学小时候超喜欢他。她只有蜀山奇侠之仙侣奇缘这一部代表作吗。
清蒸鱼怎么做	你清蒸鱼也没拿出来。你喜欢吃鱼不我新学了一个蒸鱼的做法哦。怎么做。
他放的	笑起来真好看。永远爱笑这样最好。他放的。
陈锦鸿陈锦鸿演过好多电影啊知道不	中国香港的明星都很帅啊。听过哦我特喜欢香港的一个明星。陈锦鸿他演过好多电影啊知道不。
我很喜欢小栗旬小栗旬的作品我常常关注	哪一位明星呢详细说一下吧。他叫小栗旬不知道你喜欢吗。我很喜欢他他的作品我常常关注。
那我喜欢的人为什么不喜欢我	我喜欢的人不喜欢我。相爱没有那么容易，每个人都有他的手机。。那他为什么不喜欢我。
白敬亭是我老公	你喜欢白敬亭吗。我爱白敬亭。他是我老公。
哈哈扮狗脸的日子就是这样起的我也不懂还有一部口碑不错的电影也挺好看的	扮狗脸的日子。什么名字啊那是。哈哈人家就是这样起的我也不懂还有一部口碑不错的电影也挺好看的。
你看过小时代3刺金时代吗听说小时代3刺金时代是暑期档热门影片	小时代3刺金时代的导演是谁你知道吗。是郭敬明吧。你看过这部影片吗听说这个是暑期档热门影片。
中国我最最最深爱的国家	我历史差。中国历史。我最最最深爱的国家。
陈龄伊是你的恋人喔	那陈龄伊是你啥人呢。不知道。她是你的恋人喔。
我知道薛家燕薛家燕是圣堂中学毕业的	你知道福建的哪位明星。薛家燕就是福建的很有名。我知道她她是圣堂中学毕业的。
华氏451度我不喜欢	好啊你和我说一下电影的名字吧说不定我看过呢。名字叫华氏451度网上评论说为什么演员表里montag有老婆正片里全程没出现。这部电影我不喜欢。
帮我回复一条信息给他	在干什么。我的名字是Breeno，你也可以叫我小布，小布在等你的召唤。。帮我回复一条信息给他。
嗯其实我昨天刚看了一部历史评分前100的电影很是不错值得一看	你从未在此。好呢那我收拾哈自己就来哈。嗯其实我昨天刚看了一部历史评分前100的电影很是不错值得一看。
真是怪王宝强媳妇作呀	是呀也不知道王宝强现在怎么样。估计以后都不敢结婚了。真是怪他媳妇作呀。
而他本就没有	他说他没有看法。本来就没有。而他本就没有。
好的老电影我也很喜欢的一定去看柳树之歌	是什么啊好看的我喜欢看。柳树之歌2000年8月30日上映的这部老电影拍摄的非常出色。好的老电影我也很喜欢的一定去看。
我他妈说给老婆打个电话都听不懂啊	我打个电话。你要打给谁呢。我他妈说给老婆打个电话都听不懂啊。
我说他不理我了	她不理我了。小布是个小仙女从来不睡觉，如果没理你，小布就是在装睡。 ​。我说他不理我了。
任家萱是人才吗	任家萱的电影。还没见识过任家萱的演技。金子总会发光的，有我有你，任家萱未来可期。。他是人才吗。
发朱迪是一个大傻子哈哈哈哈哈	给朱迪发短信。你要发送什么内容？。发他是一个大傻子哈哈哈哈哈。
林庆台还主演了一部电影叫赛德克巴莱赛德克巴莱5年前就已经上映了哦	林庆台就是天秤座的明星曾经获得很多奖项。好吧有时间去认识一下。林庆台还主演了一部电影叫赛德克巴莱5年前就已经上映了哦。
谁是刘洵	刘洵有什么经典语录。为刘洵喜，为刘洵狂，为了刘洵哐哐撞大墙。你是不是这样？。谁是他。
野猪佩琪我朋友我推荐野猪佩琪加你的	你刚刚加了一个叫野猪佩琪的人吧。好不好啊。她我朋友我推荐她加你的。
北京的演员是谁啊	这么说滴血的秘密一定很好看喽我这就去看滴血的秘密。这部电影里有一个演员我很喜欢她是北京人。是谁啊。
我想丞相了	不知道。丞相因何发笑。我想他了。
易建联不是在火箭队吗	易建联怎么样。阿联身体绝对亚洲最顶级。他不是在火箭队吗。
呵呵你知道大河之舞主演是谁吗可是好莱坞动作男星呢	叫大河之舞。我听别人说了一下我们外行是看热闹嘿嘿。呵呵你知道这部电影主演是谁吗可是好莱坞动作男星呢。
你妈妈同意了	你妈妈漂亮吗你看一下。那也得征求她的意见啊。他同意了。
爱吃蛋炒饭	你平时都吃啥啊。吃蛋炒饭。爱吃这个。
你敢喝甲醛吗	甲醛是什么。这就是自来水。你敢喝吗。
我去查一下卢卡斯布莱克的资料的看看卢卡斯布莱克是不是真的如你所说	如此说来这位主演很不错嘛。他叫卢卡斯布莱克在1997年获得青年艺人大奖故事片最佳年轻男主角奖。我去查一下他的资料的看看是不是真的如你所说。
我会给权志龙生孩子	权志龙只能是我的。我会给权志龙做饭。我会给他生孩子。
合肥有什么好吃的呢	合肥有什么好玩的呢。貌似有逍遥津天鹅湖包公园三河古镇滨湖湿地公园紫蓬山李府。那有什么好吃的呢。
哇毕业于台北市私立泰北高级中学的郭碧婷听起来真的不错	你说的是谁啊叫什么名字。毕业于台北市私立泰北高级中学的郭碧婷。哇听起来真的不错。
他都不能去	你说你有什么功能。就是普通功能机。他都不能去。
怎么说	是啊都有各个的成就。我最佩服的还是林心如。怎么说。
问谭露茜回来吃饭不	发短信跟谭露茜。你要发送什么内容。问他回来吃饭不。
清朝第一个皇帝叫皇太极	清朝这位的皇帝只有12个。清朝第一个皇帝的名字叫什么呢。皇太极。
徐学信是谁	你认识徐学信吗。必须的必啊哈哈。他是谁。
如果一个人喜欢一个人但是一个人不喜欢他怎么办	小布小布。被你喊过的名字叫泡芙，都很甜，什么事？。如果一个人喜欢一个人但是一个人不喜欢他怎么办。
我哪知道饕餮是什么	什么是饕餮。饕餮是什么。我哪知道。
他叫王景春王景春演小角色演到你印象深刻	表演是一门天赋也是可以后天学习上海戏剧学院你值得加入。我很喜欢表演我也很想加入。他叫王景春他演小角色演到你印象深刻。
杨阳洋他有女朋友吗	阳阳他有女朋友吗。这个就要问他自己了。杨阳洋他有女朋友吗。
就那个他	给他打电话。你要打给谁呢？。就那个他。
美国的片子的名字有点长叫做假若比尔街能够讲话是2018年11月30日上映的	还有一部美国的片子你想不想了解一下。说来听听啊。它的名字有点长叫做假若比尔街能够讲话是2018年11月30日上映的。
是吗没看过火星救援讲什么的啊	看过异形还有什么其他好看的介绍吗。有啊火星救援就很不错啊。是吗没看过讲什么的啊。
嗯嗯怪不得朱莉娅罗伯茨是美国的宝贝	朱莉娅罗伯茨的口碑好像很好。是啊她在电影我最好朋友的婚礼里面还提名了。嗯嗯怪不得是美国的宝贝。
哪一部已经上映的喜剧片	这个我要去看看。我还知道一部已经上映的喜剧片。哪一部。
那我有空也要去看看等爱的女人	不认识哦不过你看的是什么电影。我看的是等爱的女人很细腻。那我有空也要去看看。
福州有啥好吃的	福州有什么好玩的啊。我知道有三坊七巷鼓山乌塔白塔西湖公园鼓岭青云山等。那有啥好吃的。
好的知道罗启锐了	不知道。是罗启锐。好的知道了。
你他妈真菜	来一句狗叫。抱歉我还是没理解请别生我的气。你他妈真菜。
迪丽热巴好看	我喜欢迪丽热巴。迪丽热巴动态好看照片看的话会觉得有点怪。她好看。
你要是喜欢大濑郁惠和寺田拓哉我们就做姐妹	大濑郁惠的经典语录。为大濑郁惠喜，为大濑郁惠狂，为了大濑郁惠哐哐撞大墙。你是不是这样？。你要是喜欢他和寺田拓哉我们就做姐妹。
他还叫我亲你一口	你敢骗我。小布什么都会就是学不会骗你。他还叫我亲你一口。
星闪闪主演叫什么呀	好啊那一会见。好的跟你说一个很巧的事情星闪闪里面的主演和你一样是堀越学园高等学校毕业的。主演叫什么呀。
第一次听说萌宠入殓师的名字呢	明天就有空。还有一个今年上映的电影叫萌宠入殓师我看了感觉还不错。第一次听说这个名字呢。
我想洗澡他们不让我洗他们跟我抢水	你太臭啦。人家才不臭呢天天都有洗澡哒。我想洗澡他们不让我洗他们跟我抢水。
三国是很好玩的猜谜游戏	你能跟我说说三国中你最喜欢的人是谁吗。我没玩过三国。很好玩的猜谜游戏。
你用过苹果吗	手机什么牌子好。听说是苹果。你用过吗。
很多人说siri聪明	小布你认不认识siri。怎么突然提起她了，我吃醋啦。。很多人说他聪明。
本门德尔森曾被提名为第67届黄金时段艾美剧情类奖最佳男配角没印象不过还是谢谢你	好的呀说来听听吧。里面有个男演员叫本门德尔森曾被提名为第67届黄金时段艾美剧情类奖最佳男配角。这个没印象不过还是谢谢你。
又努力又幸运的孟美岐打Call	话说知道孟美岐吗。不知。又努力又幸运的小姐姐打Call。
爸爸去哪儿2不过有人说不如期望的好估计票房应该不错不过具体的内容一般	他还出演过一部电影2015年2月19日上映的挺好看的。什么电影说出来听听。爸爸去哪儿2不过有人说不如期望的好估计票房应该不错不过具体的内容一般。
伊曼纽尔的真相是吉米辛普森主演的网友评论说伊曼纽尔的真相让人紧张推荐你去欣赏一下	我看过卡雅斯考达里奥的代表作伊曼纽尔的真相还不错的哦。这个我还真不知道。是吉米辛普森主演的网友评论说影片让人紧张推荐你去欣赏一下。
我看韦秀妍怎么像张杰啊	认识郑秀妍不。我认识韦秀妍。我看他怎么像张杰啊。
对呀外婆在荆州石首	荆州沙市。我是荆州石首的。对呀外婆在那里。
是不是电影太久了	什么电影。维纳斯旅馆。是不是电影时间太久了。
他已经回家了	发短信给王玉兰。你要发送什么内容。他已经回家了。
在哪见过猴腮雷	见过猴腮雷。春晚的猴腮雷。在哪见过。
女演员还真的不知道啊说来听听吧	甄子丹和王宝强演的吧看过了。这部剧里面的另一个女演员得过2009华鼎奖最佳表现女演员知道她是哪个不。这个还真的不知道啊说来听听吧。
他自述留这吧	我要上厕所。小布陪你一起上厕所的路上不孤单。他自述留这吧。
哦我去找找谁是加缪看	哦谁是加缪应该还不错呦。是啊这是柳町光男的代表作他还凭借东京之恋还获得过东京国际电影节的提名呢。哦我去找找看。
疯狂丑小鸭什么时候上映	疯狂丑小鸭是动画片吗。是啊。什么时候上映。
真的不认识张天爱啊	张天爱  谁啊。你是来黑张天爱的 求放过啊。真的不认识啊。
苗鼓如何调音	苗鼓是由什么组成。苗鼓基本上是由鼓框、鼓皮、鼓钉、鼓槌等部件组合而成。。如何调音。
他讲你别这样我可不能为你承保	你做我男朋友吧。别这样我可不能为你承包整个鱼塘。他讲你别这样我可不能为你承保。
知道周元一点周元是一位韩国明星	她啊我挺喜欢的。说了也巧和她同年同月同日生的有一位明星叫周元你知道吗。知道一点是一位韩国明星。
我喜欢siri我喜欢你	我喜欢你我喜欢SIRI。其实小布更萌更乖更能干。。我喜欢他我喜欢你。
解放军艺术学院戏剧系毕业的不错的明星就是苏丽获得过2007年第12届中国电影华表奖优秀新人女演员奖提名	解放军艺术学院戏剧系毕业的一位明星也很不错的。你说的是谁说说吧。这位明星就是苏丽获得过2007年第12届中国电影华表奖优秀新人女演员奖提名。
我骂他的时候你是我的家人	您给兄弟。你就是我的家人我有你就够啦。我骂他的时候你是我的家人。
我问你昆虫记怎么样	昆虫记怎么样。封面上的昆虫记。我问你怎么样。
那我现在就去欣赏一下电影史话	电影史话名字我都没有听过。影片是5年前上映的口碑也很不错有时间你也可以感受一下哦。那我现在就去欣赏一下。
名字不能随便改	我有名字。名字不好。不能随便改。
啊姐夫那跟他讲	你结婚。我不会结婚有你的陪伴就很好。啊姐夫那跟他讲。
致青春原来你还在这里应该还不错我也去看看致青春原来你还在这里	是什么电影啊。电影是致青春原来你还在这里。应该还不错我也去看看。
恩恩碧生源的常润茶可以	最近才买了3盒子碧生源的常润茶呃。可以吗。恩恩可以。
我超级爱李滨	我想听李滨放屁。小布从未听过如此奇怪的要求，这么美妙的声音，不如让李滨唱歌给你听。。我超级爱他。
顺便给你推荐一部艾伦主演的电影吧	casaroshell就很不错哦已经上映了。那我要去看看。顺便给你推荐一部艾伦主演的电影吧。
小布吃饭了吗	好的小布小布。还是不懂。你吃饭了吗。
我想看第五元素啊	最近有什麼好電影。第五元素 很喜欢里面的世界观。我想看啊。
而且梅根福克斯的搭档比梅根福克斯还美是美国女明星	霸气美女又帅又性感我要被梅根福克斯迷死啦哈哈哈。嘿嘿我和她同一个星座都是金牛座的。而且她的搭档比她还美是美国女明星。
